Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,Attend.,Capacity,Attendence
"Wed, Nov 22, 2017",7:00p,Brooklyn Nets,109,Cleveland Cavaliers,119,20562,20562,1.00
"Wed, Nov 22, 2017",8:00p,Denver Nuggets,95,Houston Rockets,125,18055,18476,0.98
"Wed, Nov 22, 2017",8:00p,Dallas Mavericks,95,Memphis Grizzlies,94,16101,18119,0.89
"Wed, Nov 22, 2017",7:30p,Boston Celtics,98,Miami Heat,104,19704,20093,0.98
"Wed, Nov 22, 2017",8:00p,Orlando Magic,118,Minnesota Timberwolves,124,16402,18978,0.86
"Wed, Nov 22, 2017",8:00p,San Antonio Spurs,90,New Orleans Pelicans,107,17539,18573,0.94
"Wed, Nov 22, 2017",7:30p,Toronto Raptors,100,New York Knicks,108,19812,19812,1.00
"Wed, Nov 22, 2017",8:00p,Golden State Warriors,91,Oklahoma City Thunder,108,18203,18203,1.00
"Wed, Nov 22, 2017",7:00p,Portland Trail Blazers,81,Philadelphia 76ers,101,20605,20848,0.99
"Wed, Nov 22, 2017",9:00p,Milwaukee Bucks,113,Phoenix Suns,107,16270,18055,0.90
"Wed, Nov 22, 2017",10:30p,Los Angeles Lakers,102,Sacramento Kings,113,17583,17583,1.00
"Wed, Nov 22, 2017",9:00p,Chicago Bulls,80,Utah Jazz,110,17434,18306,0.95
"Fri, Nov 24, 2017",7:30p,New York Knicks,104,Atlanta Hawks,116,14355,16739,0.86
"Fri, Nov 24, 2017",7:30p,Orlando Magic,103,Boston Celtics,118,18624,18624,1.00
"Fri, Nov 24, 2017",12:00p,Portland Trail Blazers,127,Brooklyn Nets,125,15246,17732,0.86
"Fri, Nov 24, 2017",8:00p,Charlotte Hornets,99,Cleveland Cavaliers,100,20562,20562,1.00
"Fri, Nov 24, 2017",9:00p,Memphis Grizzlies,92,Denver Nuggets,104,16736,20103,0.83
"Fri, Nov 24, 2017",10:30p,Chicago Bulls,94,Golden State Warriors,143,19596,19596,1.00
"Fri, Nov 24, 2017",8:00p,Toronto Raptors,104,Indiana Pacers,107,16523,17923,0.92
"Fri, Nov 24, 2017",8:00p,Miami Heat,109,Minnesota Timberwolves,97,18978,18978,1.00
"Fri, Nov 24, 2017",8:00p,Detroit Pistons,99,Oklahoma City Thunder,98,18203,18203,1.00
"Fri, Nov 24, 2017",9:00p,New Orleans Pelicans,115,Phoenix Suns,91,16574,18055,0.92
